"job_id","job_title_short","job_title","salary_year_avg","job_location","job_posted_date","company_name"
226942,"Data Analyst","Data Analyst","650000.0","Anywhere","2023-02-20","Mantys"
547382,"Data Analyst","Director of Analytics","336500.0","Anywhere","2023-08-23","Meta"
552322,"Data Analyst","Associate Director- Data Insights","255829.5","Anywhere","2023-06-18","AT&T"
99305,"Data Analyst","Data Analyst, Marketing","232423.0","Anywhere","2023-12-05","Pinterest Job Advertisements"
1021647,"Data Analyst","Data Analyst (Hybrid/Remote)","217000.0","Anywhere","2023-01-17","Uclahealthcareers"
168310,"Data Analyst","Principal Data Analyst (Remote)","205000.0","Anywhere","2023-08-09","SmartAsset"
731368,"Data Analyst","Director, Data Analyst - HYBRID","189309.0","Anywhere","2023-12-07","Inclusively"
310660,"Data Analyst","Principal Data Analyst, AV Performance Analysis","189000.0","Anywhere","2023-01-05","Motional"
1749593,"Data Analyst","Principal Data Analyst","186000.0","Anywhere","2023-07-11","SmartAsset"
387860,"Data Analyst","ERM Data Analyst","184000.0","Anywhere","2023-06-09","Get It Recruit - Information Technology"
